<1>
1 2 3
0 4 5
2 8 17
6 8 241
<2>
0 2 3
1 4 5
3 4 13
<3>
0 1 7
<4>
1 2 3
2 4 5
4 8 17
0 16 97
8 16 257
<5>
0 2 3
0 5 31
1 5 151
3 10 11
7 10 331
9 20 41
19 20 61
<6>
0 3 73
1 6 19
4 12 37
10 12 109
2 9 262657
5 18 87211
14 36 246241
32 36 279073
8 27 2593
17 27 71119
26 27 97685839
<7>
0 7 127
1 7 337
2 14 43
9 14 5419
3 21 92737
10 21 649657
17 42 77158673929
38 84 40388473189
80 84 118750098349
4 35 71
11 35 29191
18 35 106681
25 35 122921
32 35 152041
5 70 211
12 70 281
19 70 86171
26 70 664441
33 70 1564921
40 140 421
110 140 7416361
47 140 146919792181
117 140 1041815865690181
54 210 1765891
124 210 11247702599676505481447137991664348691
194 420 2521
404 420 1711081
61 350 1051
131 350 110251
201 350 3205651
271 350 247772800801
341 350 347833278451
68 350 7223591273619001
138 350 34010032331525251
208 350 129266711542799251
278 350 2310141222312973778401
348 700 701
698 700 6301
6 49 4432676798593
13 49 2741672362528725535068727
20 98 748819
69 98 4363953127297
27 98 26032885845392093851
76 196 197
174 196 540961
34 196 19707683773
83 196 4981857697937
132 196 40544859693521152369
181 196 17059410504738323992180849
41 245 1471
90 245 41161
139 245 4163041
188 245 20147473081
237 245 2340389488711
48 343 6073159
97 343 1428389887
146 343 62228099977
195 343 6896727944023
244 686 8233
587 686 2513690593
293 686 36892437056956699
636 686 2883580030222424891
342 1029 271657
685 1029 1207183654783
1028 1029 3364825089980357987257
